Город,Месяц,Период/Дата,Событие,Что происходит
Санкт-Петербург,1,1 января,Новогодняя ночь,Гуляния на Дворцовой площади
Санкт-Петербург,1,7 января,Рождество Христово,Праздничные службы
Санкт-Петербург,1,Конец января,Крещенские купания,Массовые купания в прорубях
Санкт-Петербург,2,23 февраля,День защитника Отечества,Торжественные церемонии
Санкт-Петербург,3,8 марта,Международный женский день,Праздничные концерты
Санкт-Петербург,3,Конец марта - апрель,Масленица,Проводы зимы
Санкт-Петербург,5,1-10 мая,День Победы,Парад на Дворцовой площади
Санкт-Петербург,5,27 мая,День города,Парад на Невском проспекте
Санкт-Петербург,6,21-22 июня,Алые паруса,Праздник выпускников
Санкт-Петербург,7,Июль,Фестиваль Старкон,Фестиваль фантастики
Санкт-Петербург,8,Август,День ВМФ,Парад кораблей
Санкт-Петербург,12,Декабрь,Рождественский свет,Ярмарка и каток
Сочи,1,1 января,Новогодняя ночь,Фейерверк над морем
Сочи,1,7 января,Рождество,Службы в соборах
Сочи,1,14 января,Старый Новый год,Тематические программы
Сочи,2,Конец января - февраль,Южные ночи,Фестиваль искусств
Сочи,3,Февраль-март,Масленица,Гуляния с блинами
Сочи,4,Апрель,Кинофестиваль,Показы фильмов
Сочи,5,1-10 мая,День Победы,Салюты и концерты
Сочи,5,Май,Открытие сезона,Торжества на набережных
Сочи,7,Середина июля,КВН КиВиН,Юмористический фестиваль
Сочи,9,Конец сентября,Red Bull X-Fighters,Экстрим-шоу
Сочи,12,Декабрь,Рождественские ярмарки,Ярмарки и катки
Владивосток,1,1 января,Новогодняя ночь,Первый праздник в России
Владивосток,1,Январь-февраль,Крещенская купель,Купания в прорубях
Владивосток,2,23 февраля,День защитника Отечества,Торжества с флотом
Владивосток,3,Конец февраля - март,День тигра,Карнавальное шествие
Владивосток,5,9 мая,День Победы,Парад и салют с кораблей
Владивосток,5,Конец мая,День города,Фестиваль еды и музыки
Владивосток,7,Начало июля,День рыбака,Соревнования по рыбной ловле
Владивосток,8,Июль-август,Меридианы Тихого,Кинофестиваль
Владивосток,9,Сентябрь,ВЭФ,Экономический форум
Владивосток,10,Октябрь,Марафон,Забеги по мостам
Владивосток,12,Декабрь,Новогодние ярмарки,Ледовый городок
Калининград,1,1 января,Новогодняя ночь,Фейерверк на набережной
Калининград,1,7 января,Рождество,Службы в храмах
Калининград,2,23 февраля,День защитника Отечества,Концерты и салют
Калининград,3,Февраль-март,Масленица,Гуляния с блинами
Калининград,5,9 мая,День Победы,Парад на проспекте Мира
Калининград,6,Конец мая - начало июня,Дни города,Концерты и ярмарки
Калининград,6,Середина-конец июня,Праздник Селедки,Рыбная ярмарка
Калининград,7,Июль,Орган+,Фестиваль органной музыки
Калининград,8,Июль-август,Калининград Сити Джаз,Джазовый фестиваль
Калининград,8,Конец августа,Времена и Эпохи,Реконструкция истории
Калининград,12,Декабрь,Рождественская ярмарка,Каток и глинтвейн
Махачкала,1,1 января,Новогодний праздник,Гуляния у моря
Махачкала,1,7 января,Рождество,Службы в храмах
Махачкала,3,8 марта,Международный женский день,Концерты и цветы
Махачкала,3,21-23 марта,Навруз,Народный праздник с угощениями
Махачкала,5,1-2 мая,Праздник Весны и Труда,Мирные шествия
Махачкала,5,9 мая,День Победы,Парад на площади Ленина
Махачкала,5,Конец мая,День города,Гала-концерт на набережной
Махачкала,6,11 июня,День России,Праздничные мероприятия
Махачкала,8,Июль-август,Летний сезон,Фестивали и концерты
Махачкала,9,Начало сентября,Фестиваль Горцы,Ярмарка народных ремесел
Махачкала,12,31 декабря,Новогодний вечер,Завершение года
