Город,Год,Месяц,Средняя_температура,Осадки_мм
Владивосток,2022,1,-16.1,7.4
Владивосток,2022,2,-11.3,5.8
Владивосток,2022,3,-2.7,5.8
Владивосток,2022,4,3.2,6.5
Владивосток,2022,5,8.1,5.5
Владивосток,2022,6,12.3,5.3
Владивосток,2022,7,17.8,4.8
Владивосток,2022,8,18.7,4.8
Владивосток,2022,9,13.2,5.6
Владивосток,2022,10,5.6,5.9
Владивосток,2022,11,-2.1,5.7
Владивосток,2022,12,-12.5,6.1
Владивосток,2023,1,-16.5,5.5
Владивосток,2023,2,-9.4,4.8
Владивосток,2023,3,-1.3,5.4
Владивосток,2023,4,3.4,6.1
Владивосток,2023,5,9.1,6.1
Владивосток,2023,6,14.5,5.3
Владивосток,2023,7,18.7,5.1
Владивосток,2023,8,19.2,4.5
Владивосток,2023,9,15.2,4.7
Владивосток,2023,10,7.4,5.2
Владивосток,2023,11,-4.8,6.5
Владивосток,2023,12,-13.1,6.2
Владивосток,2024,1,-15.1,7.0
Владивосток,2024,2,-10.6,6.2
Владивосток,2024,3,-4.5,5.4
Владивосток,2024,4,4.4,5.5
Владивосток,2024,5,8.2,6.1
Владивосток,2024,6,12.4,5.6
Владивосток,2024,7,18.9,5.0
Владивосток,2024,8,19.5,5.2
Владивосток,2024,9,13.2,5.3
Владивосток,2024,10,7.5,4.0
Калининград,2022,1,-0.5,6.6
Калининград,2022,2,0.2,6.0
Калининград,2022,3,-3.2,3.6
Калининград,2022,4,1.6,4.9
Калининград,2022,5,5.5,4.5
Калининград,2022,6,11.1,3.4
Калининград,2022,7,12.5,4.0
Калининград,2022,8,14.8,3.3
Калининград,2022,9,7.2,3.6
Калининград,2022,10,7.8,3.9
Калининград,2022,11,2.3,3.7
Калининград,2022,12,-3.2,4.0
Калининград,2023,1,0.5,4.7
Калининград,2023,2,-0.8,5.4
Калининград,2023,3,-1.2,4.8
Калининград,2023,4,2.8,4.0
Калининград,2023,5,4.5,3.5
Калининград,2023,6,10.2,3.3
Калининград,2023,7,12.0,3.7
Калининград,2023,8,14.4,3.3
Калининград,2023,9,11.6,3.0
Калининград,2023,10,5.9,5.4
Калининград,2023,11,-0.1,4.1
Калининград,2023,12,0.0,5.6
Калининград,2024,1,-4.1,5.5
Калининград,2024,2,1.8,5.0
Калининград,2024,3,0.9,4.1
Калининград,2024,4,4.1,4.9
Калининград,2024,5,8.7,3.5
Калининград,2024,6,10.8,3.8
Калининград,2024,7,13.1,3.8
Калининград,2024,8,13.1,3.4
Калининград,2024,9,11.2,3.2
Калининград,2024,10,3.5,2.0
Санкт-Петербург,2022,1,-8.4,4.6
Санкт-Петербург,2022,2,-4.2,4.4
Санкт-Петербург,2022,3,-5.3,3.8
Санкт-Петербург,2022,4,-1.4,3.8
Санкт-Петербург,2022,5,4.5,4.5
Санкт-Петербург,2022,6,10.9,3.3
Санкт-Петербург,2022,7,13.8,3.1
Санкт-Петербург,2022,8,14.1,3.0
Санкт-Петербург,2022,9,5.5,3.1
Санкт-Петербург,2022,10,4.4,4.1
Санкт-Петербург,2022,11,-1.9,4.3
Санкт-Петербург,2022,12,-6.3,4.0
Санкт-Петербург,2023,1,-5.6,4.4
Санкт-Петербург,2023,2,-6.5,4.5
Санкт-Петербург,2023,3,-5.1,4.0
Санкт-Петербург,2023,4,1.1,3.7
Санкт-Петербург,2023,5,5.1,3.8
Санкт-Петербург,2023,6,9.6,3.3
Санкт-Петербург,2023,7,12.6,3.9
Санкт-Петербург,2023,8,13.8,3.3
Санкт-Петербург,2023,9,10.2,3.4
Санкт-Петербург,2023,10,1.9,4.5
Санкт-Петербург,2023,11,-2.9,3.4
Санкт-Петербург,2023,12,-7.7,3.9
Санкт-Петербург,2024,1,-14.0,3.8
Санкт-Петербург,2024,2,-7.3,4.1
Санкт-Петербург,2024,3,-1.9,3.4
Санкт-Петербург,2024,4,1.3,4.2
Санкт-Петербург,2024,5,6.4,3.2
Санкт-Петербург,2024,6,11.9,3.5
Санкт-Петербург,2024,7,14.9,3.1
Санкт-Петербург,2024,8,12.5,3.0
Санкт-Петербург,2024,9,10.8,3.0
Санкт-Петербург,2024,10,2.5,2.5
Сочи,2022,1,2.1,4.2
Сочи,2022,2,3.5,3.9
Сочи,2022,3,1.6,3.4
Сочи,2022,4,8.0,3.0
Сочи,2022,5,10.2,2.7
Сочи,2022,6,17.5,2.9
Сочи,2022,7,18.7,3.1
Сочи,2022,8,21.6,3.2
Сочи,2022,9,16.7,3.5
Сочи,2022,10,12.2,3.1
Сочи,2022,11,8.9,3.2
Сочи,2022,12,6.2,3.2
Сочи,2023,1,2.1,3.5
Сочи,2023,2,1.5,4.2
Сочи,2023,3,6.6,2.9
Сочи,2023,4,8.8,2.8
Сочи,2023,5,11.9,2.4
Сочи,2023,6,17.7,2.9
Сочи,2023,7,18.6,3.1
Сочи,2023,8,22.5,3.0
Сочи,2023,9,17.3,3.5
Сочи,2023,10,12.4,3.5
Сочи,2023,11,8.7,4.1
Сочи,2023,12,6.4,3.7
Сочи,2024,1,3.9,3.7
Сочи,2024,2,5.1,3.4
Сочи,2024,3,5.3,3.1
Сочи,2024,4,11.6,2.8
Сочи,2024,5,12.6,2.9
Сочи,2024,6,18.4,3.1
Сочи,2024,7,21.6,3.3
Сочи,2024,8,20.6,3.4
Сочи,2024,9,18.8,3.8
Сочи,2024,10,15.2,2.0
